,rot,betaArmWidth,maxCorr,argRow,argCol
0,-0.03,2.995,200.40758396416953,494.0,959.0
1,-0.03,2.995875,200.40758396416953,494.0,959.0
2,-0.03,2.99675,200.40758396416953,494.0,959.0
3,-0.03,2.997625,203.2763628261945,493.0,959.0
4,-0.03,2.9985,203.2763628261945,493.0,959.0
5,-0.03,2.999375,203.2763628261945,493.0,959.0
6,-0.03,3.00025,203.2763628261945,493.0,959.0
7,-0.03,3.001125,203.2763628261945,493.0,959.0
8,-0.03,3.002,203.2763628261945,493.0,959.0
9,-0.03,3.002875,206.6820388610316,493.0,958.0
10,-0.03,3.00375,206.6820388610316,493.0,958.0
11,-0.03,3.004625,206.6820388610316,493.0,958.0
12,-0.03,3.0055,206.6820388610316,493.0,958.0
13,-0.03,3.006375,206.6820388610316,493.0,958.0
14,-0.03,3.00725,206.6820388610316,493.0,958.0
15,-0.03,3.008125,208.24501443433851,493.0,957.0
16,-0.03,3.009,208.24501443433851,493.0,957.0
17,-0.03,3.009875,208.24501443433851,493.0,957.0
18,-0.03,3.01075,208.24501443433851,493.0,957.0
19,-0.03,3.011625,208.24501443433851,493.0,957.0
20,-0.03,3.0125,208.24501443433851,493.0,957.0
21,-0.03,3.013375,208.24501443433851,493.0,957.0
22,-0.03,3.01425,207.737219757048,493.0,956.0
23,-0.03,3.015125,207.737219757048,493.0,956.0
24,-0.03,3.016,207.737219757048,493.0,956.0
25,-0.03,3.016875,207.737219757048,493.0,956.0
26,-0.03,3.01775,207.737219757048,493.0,956.0
27,-0.03,3.018625,207.737219757048,493.0,956.0
28,-0.03,3.0195,205.9321960168767,493.0,955.0
29,-0.03,3.020375,205.9321960168767,493.0,955.0
30,-0.03,3.02125,205.9321960168767,493.0,955.0
31,-0.03,3.022125,205.9321960168767,493.0,955.0
32,-0.03,3.023,205.9321960168767,493.0,955.0
33,-0.03,3.023875,205.9321960168767,493.0,955.0
34,-0.03,3.02475,204.42818371013442,493.0,954.0
35,-0.03,3.025625,204.42818371013442,493.0,954.0
36,-0.03,3.0265,204.42818371013442,493.0,954.0
37,-0.03,3.027375,204.42818371013442,493.0,954.0
38,-0.03,3.02825,204.42818371013442,493.0,954.0
39,-0.03,3.029125,204.42818371013442,493.0,954.0
40,-0.03,3.03,204.42818371013442,493.0,954.0
41,-0.026333333333333334,2.995,200.43985462282447,494.0,959.0
42,-0.026333333333333334,2.995875,200.43985462282447,494.0,959.0
43,-0.026333333333333334,2.99675,200.43985462282447,494.0,959.0
44,-0.026333333333333334,2.997625,203.32798880291205,493.0,959.0
45,-0.026333333333333334,2.9985,203.32798880291205,493.0,959.0
46,-0.026333333333333334,2.999375,203.32798880291205,493.0,959.0
47,-0.026333333333333334,3.00025,203.32798880291205,493.0,959.0
48,-0.026333333333333334,3.001125,203.32798880291205,493.0,959.0
49,-0.026333333333333334,3.002,203.32798880291205,493.0,959.0
50,-0.026333333333333334,3.002875,206.7316260840972,493.0,958.0
51,-0.026333333333333334,3.00375,206.7316260840972,493.0,958.0
52,-0.026333333333333334,3.004625,206.7316260840972,493.0,958.0
53,-0.026333333333333334,3.0055,206.7316260840972,493.0,958.0
54,-0.026333333333333334,3.006375,206.7316260840972,493.0,958.0
55,-0.026333333333333334,3.00725,206.7316260840972,493.0,958.0
56,-0.026333333333333334,3.008125,208.28510724865362,493.0,957.0
57,-0.026333333333333334,3.009,208.28510724865362,493.0,957.0
58,-0.026333333333333334,3.009875,208.28510724865362,493.0,957.0
59,-0.026333333333333334,3.01075,208.28510724865362,493.0,957.0
60,-0.026333333333333334,3.011625,208.28510724865362,493.0,957.0
61,-0.026333333333333334,3.0125,208.28510724865362,493.0,957.0
62,-0.026333333333333334,3.013375,208.28510724865362,493.0,957.0
63,-0.026333333333333334,3.01425,207.77622456210582,493.0,956.0
64,-0.026333333333333334,3.015125,207.77622456210582,493.0,956.0
65,-0.026333333333333334,3.016,207.77622456210582,493.0,956.0
66,-0.026333333333333334,3.016875,207.77622456210582,493.0,956.0
67,-0.026333333333333334,3.01775,207.77622456210582,493.0,956.0
68,-0.026333333333333334,3.018625,207.77622456210582,493.0,956.0
69,-0.026333333333333334,3.0195,205.97174007124963,493.0,955.0
70,-0.026333333333333334,3.020375,205.97174007124963,493.0,955.0
71,-0.026333333333333334,3.02125,205.97174007124963,493.0,955.0
72,-0.026333333333333334,3.022125,205.97174007124963,493.0,955.0
73,-0.026333333333333334,3.023,205.97174007124963,493.0,955.0
74,-0.026333333333333334,3.023875,205.97174007124963,493.0,955.0
75,-0.026333333333333334,3.02475,204.47298106787107,493.0,954.0
76,-0.026333333333333334,3.025625,204.47298106787107,493.0,954.0
77,-0.026333333333333334,3.0265,204.47298106787107,493.0,954.0
78,-0.026333333333333334,3.027375,204.47298106787107,493.0,954.0
79,-0.026333333333333334,3.02825,204.47298106787107,493.0,954.0
80,-0.026333333333333334,3.029125,204.47298106787107,493.0,954.0
81,-0.026333333333333334,3.03,204.47298106787107,493.0,954.0
82,-0.02266666666666667,2.995,200.46993313227225,494.0,959.0
83,-0.02266666666666667,2.995875,200.46993313227225,494.0,959.0
84,-0.02266666666666667,2.99675,200.46993313227225,494.0,959.0
85,-0.02266666666666667,2.997625,203.3769750497747,493.0,959.0
86,-0.02266666666666667,2.9985,203.3769750497747,493.0,959.0
87,-0.02266666666666667,2.999375,203.3769750497747,493.0,959.0
88,-0.02266666666666667,3.00025,203.3769750497747,493.0,959.0
89,-0.02266666666666667,3.001125,203.3769750497747,493.0,959.0
